old_url,new_url,action,title,pubDate,bodyWords,transcriptWords,tags,youtubeId,draft,note,game
/blog/vlogs/nmm-blue-steel-scales-and-an-existential-crisis/,/vlog/nmm-blue-steel-scales-and-an-existential-crisis/,vlog,NMM Blue Steel Scales and an Existential Crisis,2026-04-14,15,1342,"painting,metallics,orcs-and-goblins,glazing,washes,stripping,3d-printing",PO9ecI8IlBU,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/no-making-the-same-mistakes-as-i-usually-do/,/vlog/no-making-the-same-mistakes-as-i-usually-do/,vlog,No making the same mistakes as I usually do,2026-04-30,16,594,"kitbashing,warhammer,building,buying-selling,painting,event-recap,orcs-and-goblins",4OxyVaXwrj4,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warhammer-aos-40k
/blog/vlogs/one-of-my-new-favorites/,/vlog/one-of-my-new-favorites/,vlog,One of my new favorites.,2026-05-14,129,0,collection,0nbdrYEeI58,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/opening-20-year-old-mage-knight-boosters/,/vlog/opening-20-year-old-mage-knight-boosters/,vlog,Opening 20 Year Old Mage Knight Boosters,2025-12-28,607,1269,"mage-knight,unboxing,solo-rpg,collection",MHR0qflZuCc,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,mage-knight
/blog/vlogs/orc-bases-and-flesh/,/vlog/orc-bases-and-flesh/,vlog,Orc bases and flesh,2026-05-17,11,0,"basing,orcs-and-goblins",qTXDUpqjBHc,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/paint-and-ramble-hobby-pressure/,/vlog/paint-and-ramble-hobby-pressure/,vlog,Paint & Ramble: Hobby Pressure,2025-10-30,457,1991,"hobby-motivation,collection,painting",k-s68f19hyI,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/paint-and-ramble-night/,/vlog/paint-and-ramble-night/,vlog,Paint and Ramble Night,2026-02-26,11,489,"painting,infinity,commission,scale-75,glazing,basing,warhammer",irk4Jyzxhug,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,infinity
/blog/vlogs/paint-and-ramble-vlog/,/vlog/paint-and-ramble-vlog/,vlog,Paint and Ramble Vlog,2025-12-30,872,2042,"warmachine,crucible-guard,speed-painting,army-painter",0vJbZA1fQ6Y,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/painting-and-ranting-about-game-design/,/vlog/painting-and-ranting-about-game-design/,vlog,Painting and Ranting about Game Design,2026-03-15,13,500,"ttrpg,warhammer,painting,glazing,infinity,warmachine",WiN3L0UX8j4,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/painting-blue-and-planning-the-next-couple-of-projects/,/vlog/painting-blue-and-planning-the-next-couple-of-projects/,vlog,Painting blue and planning the next couple of projects.,2026-05-23,16,702,painting,4K9Py5rS05c,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/painting-dirt-hobby-vlog-99/,/vlog/painting-dirt-hobby-vlog-99/,vlog,Painting Dirt - Hobby Vlog 99,2025-12-19,607,1200,"terrain,painting,mage-knight,unboxing",cjHNFTbGyCY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,mage-knight
/blog/vlogs/painting-some-infinity-models/,/vlog/painting-some-infinity-models/,vlog,Painting some infinity models,2026-04-26,11,1347,"painting,airbrushing,orcs-and-goblins,building,basing,skin-tones,contrast-paints",Uelyqf2Y5FQ,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/painting-the-wood-on-the-love-shack/,/vlog/painting-the-wood-on-the-love-shack/,vlog,Painting the Wood on The Love Shack,2025-12-03,540,1847,"terrain,contrast-paints,dry-brushing,painting,tutorial",KX1xw7XCq-s,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/planning-a-new-hobby-room-layout/,/vlog/planning-a-new-hobby-room-layout/,vlog,"Planning the Hobby Room, Attempt Number Six",2026-06-16,1643,0,"terrain,painting,building,3d-printing,buying-selling,airbrushing,workspace",nM6sKaVGmpc,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/prepping-for-game-day/,/vlog/prepping-for-game-day/,vlog,Prepping for game day,2026-06-07,11,2278,"snow-effects,basing,leather,painting,warmachine,building",-atVrQVD4TE,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/quick-base-work/,/vlog/quick-base-work/,vlog,Quick Base Work,2026-01-03,397,744,"basing,weathering,metallics,painting",TQxF7pJweAs,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/quick-hobby-update/,/vlog/quick-hobby-update/,vlog,Quick Hobby Update,2026-04-05,10,421,"painting,3d-printing,resin-casting,building,dusk,snow-effects",U1BvKah394c,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/quick-vlog-day-97/,/vlog/quick-vlog-day-97/,vlog,Sealing the Terrain Board and Printing a Vulcan,2025-12-17,275,307,"terrain,3d-printing,crucible-guard,warmachine",XiruNWp8ELs,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/quick-vlog-update-rip-airbrush/,/vlog/quick-vlog-update-rip-airbrush/,vlog,My 12-Year-Old Airbrush Died Mid-Priming,2025-09-29,355,474,"airbrushing,warmachine",8Ab7CTTqmKE,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/quick-vlog/,/vlog/quick-vlog/,vlog,Hobby Queue Check-In: What's Next on the Bench,2025-11-13,118,297,,Gh7q0iR95JY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/rambling-about-competitive-vs-fun-games/,/vlog/rambling-about-competitive-vs-fun-games/,vlog,Rambling about competitive vs fun games.,2026-06-10,13,721,"warmachine,terrain,orcs-and-goblins,snow-effects,kingdom-death,building",IrYUuzf1sEo,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/return-of-the-cubes/,/vlog/return-of-the-cubes/,vlog,Return of the Cubes,2025-11-12,236,389,"terrain,motley-crews,weathering,workspace",NXcsGvqNzbc,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,motley-crews
/blog/vlogs/rip-to-my-heat-gun/,/vlog/rip-to-my-heat-gun/,vlog,RIP to my heat gun,2026-04-21,12,792,"painting,glazing,metallics,airbrushing,dusk,snow-effects",ziJvp2o7AOY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/scratch-building-a-wargame-board-almost-ready-for-paint/,/vlog/scratch-building-a-wargame-board-almost-ready-for-paint/,vlog,Scratch Building a Wargame Board - Almost Ready for Paint,2025-09-23,484,2397,"terrain,building,tutorial",4ipANeZ_LFY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/sculpting-toes/,/vlog/sculpting-toes/,vlog,Sculpting Toes,2026-02-15,9,336,"sculpting,children-of-gomb,kitbashing,inq28",-gMaiDR69ok,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/self-reflection-and-story-time/,/vlog/self-reflection-and-story-time/,vlog,Self Reflection & Story Time,2025-11-18,682,2888,"workspace,competition",V_-LuA1GuDM,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/showing-off-some-warmachine-minis/,/vlog/showing-off-some-warmachine-minis/,vlog,Showing Off Some Warmachine Minis,2025-10-24,332,1380,"warmachine,orcs-and-goblins,contrast-paints,collection",6D23c7QRk2c,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/sick-q-a/,/vlog/sick-q-a/,vlog,Sick Q&A,2026-03-26,9,343,"kal-arath,kingdom-death,solo-rpg,crafts,smashbash",WqpimW1H2pc,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,kingdom-death-monster
/blog/vlogs/slowly-going-insane-removing-mould-lines/,/vlog/slowly-going-insane-removing-mould-lines/,vlog,Slowly Going Insane Removing Mould Lines,2025-10-08,248,391,"orcs-and-goblins,building,warhammer,hobby-motivation",zfAkHtZwJnA,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warhammer-aos-40k
/blog/vlogs/smashbash-build-begins/,/vlog/smashbash-build-begins/,vlog,SmashBash Build Begins,2026-04-12,10,0,"building, smashbash",UA05maxLKkk,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/some-late-night-reading-after-this-came-in-the-mail-today/,/vlog/some-late-night-reading-after-this-came-in-the-mail-today/,vlog,Some Late Night Reading After This Came in the Mail Today,2026-04-29,18,20,unboxing,j5Fmnug1-lM,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
